ServiceTag,product,new_appgroup,node,产品线,hostname,IP,OS,装机模版,机型,机房,包间,机柜编号,机位,机柜位置,ASW编号,所有产品,节点数量,节点配置,区域,service,serviceInstanceNo,runtimeResourceLimit,region
sn_13574,middleWare,,tair-server,,,,,,docker,,,,,,,,,,,tair,1,"{""mem_limit"":""16G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_24563,tianji,,alert-notify,,,,,,docker,,,,,,,,,,,tianjimon,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_28046,webapp,,mops-lingxiao,,,,,,docker,,,,,,,,,,,lingxiao,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_97253,webapp,,mops-lingxiao,,,,,,docker,,,,,,,,,,,lingxiao,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_98703,ecs,,tair_dataserver_2,,,,,,docker,,,,,,,,,,,houyi,1,"{""mem_limit"":""8192M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_54321,ecs,,git-server,,,,,,docker,,,,,,,,,,,luorigong,1,"{""mem_limit"":""2048m"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_39601,webapp,,oms-task-aliyun-com,,,,,,docker,,,,,,,,,,,oms,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_04517,webapp,,oms-task-aliyun-com,,,,,,docker,,,,,,,,,,,oms,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_20381,armory,,cloud-armory-web,,,,,,docker,,,,,,,,,,,cloud-armory,1,"{""mem_limit"":""8192M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_24175,armory,,cloud-armory-web,,,,,,docker,,,,,,,,,,,cloud-armory,1,"{""mem_limit"":""8192M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_49267,baseService,,rc-service-init,,,,,,docker,,,,,,,,,,,rc-service,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_83572,rds,,tl-update-conf,,,,,,docker,,,,,,,,,,,tianlong,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_06521,dtdream,,cas,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_31640,dtdream,,cas,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_62934,bcc,,controller,,,,,,docker,,,,,,,,,,,web,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_74951,bcc,,controller,,,,,,docker,,,,,,,,,,,web,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_02756,dtdream,,alarmadapter,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_96381,dtdream,,alarmadapter,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_80169,oss,,oss_service_init,,,,,,docker,,,,,,,,,,,yaochi,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_10946,ecs,,aol,,,,,,docker,,,,,,,,,,,luorigong,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_95263,ads,,gallardo_ui,,,,,,docker,,,,,,,,,,,ads_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_20748,ads,,gallardo_ui,,,,,,docker,,,,,,,,,,,ads_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_70531,slb,,slb-test,,,,,,docker,,,,,,,,,,,controller,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
